# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\world_map_1.png	255	255	255
10	textures\world_map_sprites.png	248	236	160
20	textures\world_map_1_bank.png	255	255	255
60120	156	30	166	40	170
#font - 9					
60121	166	30	176	40	170
#font - A					
60122	176	30	186	40	170
#font - B					
60123	186	30	196	40	170
#font - C					
60124	76	40	86	50	170
#font - D					
60125	86	40	96	50	170
#font - E					
60126	96	40	106	50	170
#font - F					
60127	106	40	116	50	170
#font - G					
60128	116	40	126	50	170
#font - H					
60129	126	40	136	50	170
#font - I					
60130	136	40	146	50	170
#font - J					
60131	146	40	156	50	170
#font - K					
60132	156	40	166	50	170
#font - L					
60133	166	40	176	50	170
#font - M					
60134	176	40	186	50	170
#font - N					
60135	186	40	196	50	170
#font - O					
60136	76	50	86	60	170
#font - P					
60137	86	50	96	60	170
#font - Q					
60138	96	50	106	60	170
#font - R					
60139	106	50	116	60	170
#font - S					
60140	116	50	126	60	170
#font - T					
60141	126	50	136	60	170
#font - U					
60142	136	50	146	60	170
#font - V					
60143	146	50	156	60	170
#font - W					
60144	156	50	166	60	170
#font - X					
60145	166	50	176	60	170
#font - Y					
60146	176	50	186	60	170
#font - Z					
60147	186	50	196	60	170
## Đen đen					
60148	1100	450	1900	650	70
# đèn đen					
60149	104	10	119	17	170
#==========SCORE ===================	
#100	
60150	61	89	72	97	170
#200
60151	75	89	87	97	170
#400
60152	90	89	102	97	170
#800
60153	105	89	117	97	170
#1000
60154	120	89	135	97	170
#2000
60155	138	89	154	97	170
#4000
60156	157	89	173	97	170
#8000
60157	176	89	192	97	170
#1LV
60158	195	89	211	97	170
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#==== BUSH
2000	1009	100	1010	100	1011	100	1012	100

#=====HELP
2001	1000	100

#===== GOLD DIGGER
#==== THE GOLD DIGGER 	WALK RIGHT
2002	1015	100	1016	100
#==== THE GOLD DIGGER 	WALK LEFT
2004	1027	100	1028	100

# ==== MARIO =========
2003	1025	100	1026	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# WORLD MAP OBJECTS
1	2000	2001	2002	2003	2004


[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type:	WORLD_MAP_TYPE_MARIO = 0,	WORLD_MAP_TYPE_HELP =1 ,   WORLD_MAP_TYPE_GOLD_DIGGER =2 , WORLD_MAP_TYPE_BUSH = 3 , OBJECT_TYPE_NODE_NORMAL= 4 ,  OBJECT_TYPE_NODE_SPECIAL = 5

# MARIO
0	24	50	1

#HELP
1	275	120	1

#GOLD_DIGGER
2	62	98	1

#BUSH (TU TRAI SANG PHAI TU TREN XUONG DUOI)
#BUSH HANG 1			
3	2	5	1
3	27	5	1
3	52	5	1
3	275	5	1
3	295	5	1
#BUSH HANG 2			
3	2	25	1
3	27	25	1
3	52	25	1
#===			
3	93	25	1
3	118	25	1
3	143	25	1
#===			
3	185	25	1
3	210	25	1
3	235	25	1
#===				
3	275	25	1
3	295	25	1
#BUSH HANG 3			
3	93	50	1
3	118	50	1
3	143	50	1
#===				
3	275	50	1
3	295	50	1
#BUSH HANG 4			
3	2	75	1
3	27	75	1
3	52	75	1
#===				
3	93	75	1
3	118	75	1
3	143	75	1
#===	
3	185	75	1
3	210	75	1
3	235	75	1
3	255	75	1
3	275	75	1
3	295	75	1
#BUSH HANG 5			
3	2	100	1
3	27	100	1
3	52	100	1
#===				
3	185	100	1
3	210	100	1
#===				
3	295	100	1
#BUSH HANG 6			
3	2	120	1
#===				
3	118	120	1
3	143	120	1
3	168	120	1
#===			
3	295	120	1
#BUSH HANG 7			
3	295	140	1
#BUSH HANG 8			
3	295	160	1
#BUSH HANG 9			
3	295	180	1


#====NODE TRONG WORLD MAP
#=== NODE s
# type	x	y	ani_set_id	node_id		l	r	t	b	type( normal =100 , special =200)
4	24	50	1	0	-1	1	-1	-1	100
4	74	50	1	1	1	-1	1	-1	200
4	74	0	1	2	-1	1	-1	1	100
4	124	0	1	3	1	1	-1	-1	100
4	174	0	1	4	1	1	-1	1	100
4	224	0	1	5	1	1	-1	-1	100
4	274	0	1	6	1	-1	-1	1	100
4	274	50	1	7	1	-1	1	-1	100
4	224	50	1	8	1	1	-1	-1	100
4	174	50	1	9	-1	1	1	1	100
4	174	100	1	10	1	-1	1	-1	100
4	124	100	1	11	1	1	-1	-1	100
4	74	100	1	12	-1	1	-1	1	200
4	74	150	1	13	-1	-1	1	1	100
4	74	200	1	14	-1	1	1	-1	100
4	124	200	1	15	1	1	-1	-1	100
4	174	200	1	16	1	-1	1	-1	100
4	174	150	1	17	1	1	-1	1	100
4	124	150	1	18	-1	1	-1	-1	100
4	224	150	1	19	1	1	-1	-1	100
4	274	150	1	20	1	-1	-1	-1	100
