[SETTINGS]
#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
1	1408	1415	404
1	1424	1415	404
1	1440	1415	404
1	1456	1415	404
1	1472	1415	404
1	1488	1415	404
1	1504	1415	404
1	1520	1415	404
1	1536	1415	404
1	1552	1415	404
1	1568	1415	404
1	1584	1415	404
1	1600	1415	404
1	1616	1415	404
1	1632	1415	404
1	1648	1415	404
1	1664	1415	404
1	1680	1415	404
1	1696	1415	404
# BRICK 3	0	265	
1	1200	1399	404
1	1216	1399	404
1	1232	1399	404
1	1248	1399	404
1	1264	1399	404
1	1280	1399	404
1	1296	1399	404
1	1312	1399	404
1	1328	1399	404
1	1344	1399	404
1	1360	1399	404
1	1376	1399	404
1	1392	1399	404
1	1408	1399	404
1	1424	1399	404
1	1440	1399	404
1	1456	1399	404
1	1472	1399	404
1	1488	1399	404
1	1504	1399	404
1	1520	1399	404
1	1536	1399	404
1	1552	1399	404
1	1568	1399	404
1	1584	1399	404
1	1600	1399	404
1	1616	1399	404
1	1632	1399	404
1	1648	1399	404
1	1664	1399	404
1	1680	1399	404
1	1696	1399	404
#BRICK 4	0	265	
1	1200	1383	404
1	1216	1383	404
1	1232	1383	404
1	1248	1383	404
1	1264	1383	404
1	1280	1383	404
1	1296	1383	404
1	1312	1383	404
1	1472	1383	404
1	1488	1383	404
1	1504	1383	404
1	1520	1383	404
1	1536	1383	404
1	1552	1383	404
1	1568	1383	404
1	1584	1383	404
1	1600	1383	404
1	1616	1383	404
1	1632	1383	404
1	1648	1383	404
1	1664	1383	404
1	1680	1383	404
1	1696	1383	404
#BRICK 5 	0	265	
1	1200	1367	404
1	1216	1367	404
1	1232	1367	404
1	1248	1367	404
1	1264	1367	404
1	1280	1367	404
1	1296	1367	404
1	1312	1367	404
1	1488	1367	404
1	1504	1367	404
1	1520	1367	404
1	1536	1367	404
1	1552	1367	404
1	1568	1367	404
1	1584	1367	404
1	1600	1367	404
1	1616	1367	404
1	1632	1367	404
1	1648	1367	404
1	1664	1367	404
1	1680	1367	404
1	1696	1367	404
#BRICK 6	0	265	
1	1200	1351	404
1	1216	1351	404
1	1232	1351	404
1	1248	1351	404
1	1264	1351	404
1	1280	1351	404
1	1296	1351	404
1	1312	1351	404
1	1504	1351	404
1	1520	1351	404
1	1536	1351	404
1	1552	1351	404
1	1568	1351	404
1	1584	1351	404
1	1600	1351	404
1	1616	1351	404
1	1632	1351	404
1	1648	1351	404
1	1664	1351	404
1	1680	1351	404
1	1696	1351	404
#BRICK 7	0	265	
1	1200	1335	404
1	1216	1335	404
1	1232	1335	404
1	1248	1335	404
1	1264	1335	404
1	1280	1335	404
1	1296	1335	404
1	1312	1335	404
1	1520	1335	404
1	1536	1335	404
1	1552	1335	404
1	1568	1335	404
1	1584	1335	404
1	1600	1335	404
1	1616	1335	404
1	1632	1335	404
1	1648	1335	404
1	1664	1335	404
1	1680	1335	404
1	1696	1335	404
#BRICK 8	0	265	
1	1200	1319	404
1	1216	1319	404
1	1232	1319	404
1	1248	1319	404
1	1264	1319	404
1	1280	1319	404
1	1296	1319	404
1	1312	1319	404
1	1536	1319	404
1	1552	1319	404
1	1568	1319	404
1	1584	1319	404
1	1600	1319	404
1	1616	1319	404
1	1632	1319	404
1	1648	1319	404
1	1664	1319	404
1	1680	1319	404
1	1696	1319	404
1	1200	1303	404
1	1216	1303	404
1	1232	1303	404
1	1248	1303	404
1	1264	1303	404
1	1280	1303	404
1	1296	1303	404
1	1312	1303	404
#1	1568	1303	404
1	1584	1303	404
1	1600	1303	404
1	1616	1303	404
1	1632	1303	404
1	1648	1303	404
1	1664	1303	404
1	1680	1303	404
1	1696	1303	404
1	1200	1287	404
1	1216	1287	404
1	1232	1287	404
1	1248	1287	404
1	1264	1287	404
1	1280	1287	404
1	1296	1287	404
1	1312	1287	404
#1	1568	1287	404
1	1584	1287	404
1	1600	1287	404
1	1616	1287	404
1	1632	1287	404
1	1648	1287	404
1	1664	1287	404
1	1680	1287	404
1	1696	1287	404
1	1200	1271	404
1	1216	1271	404
1	1232	1271	404
1	1248	1271	404
1	1264	1271	404
1	1280	1271	404
1	1296	1271	404
1	1312	1271	404
#1	1568	1271	404
1	1584	1271	404
1	1600	1271	404
1	1616	1271	404
1	1632	1271	404
1	1648	1271	404
1	1664	1271	404
1	1680	1271	404
1	1696	1271	404
1	1200	1255	404
1	1216	1255	404
1	1232	1255	404
1	1248	1255	404
1	1264	1255	404
1	1280	1255	404
1	1296	1255	404
1	1312	1255	404
1	1360	1255	404
1	1376	1255	404
1	1392	1255	404
1	1408	1255	404
1	1424	1255	404
1	1440	1255	404
1	1456	1255	404
1	1472	1255	404
1	1488	1255	404
1	1504	1255	404
1	1520	1255	404
1	1536	1255	404
1	1584	1255	404
1	1600	1255	404
1	1616	1255	404
1	1632	1255	404
1	1648	1255	404
1	1664	1255	404
1	1680	1255	404
1	1696	1255	404
#coin	0	265	
10	1424	1275	209
10	1440	1275	209
10	1408	1291	209
10	1456	1291	209
10	1456	1307	209
10	1424	1323	209
10	1440	1323	209
10	1456	1339	209
10	1408	1355	209
10	1456	1355	209
10	1424	1371	209
10	1440	1371	209
############	0	265	
#==== DONG TIEN	0	265	
#==== DONG TIEN CHEO	0	265	
10	1072	319	209
10	1105	288	209
10	1137	256	209
10	1169	224	209
10	1201	192	209
#==== 3 HANG DONG TIEN	0	265	
#==== HANG 1	0	265	
10	1329	80	209
10	1345	80	209
10	1361	80	209
#==== HANG 2	0	265	
10	1473	112	209
10	1489	112	209
10	1617	112	209
10	1633	112	209
10	1649	112	209
10	1665	112	209
10	1729	112	209
#==== HANG 3	0	265	
10	1537	128	209
10	1553	128	209
10	1569	128	209
10	1585	128	209
10	1762	128	209
10	1841	128	209
#==== 2 CUC DONG TIEN LE	0	265	
#====  CUC DONG TIEN LE TREN	0	265	
10	1809	96	209
#====  CUC DONG TIEN LE DUOI	0	265	
10	1697	144	209
#==== GACH B? ???C ====	0	265	
23	1952	399	403
23	1967	399	403
23	1982	399	403
23	1997	399	403
23	2012	399	403
23	2027	399	403
23	2042	399	403
23	2087	399	403
23	2102	399	403
23	1967	383	403
23	1982	383	403
23	1997	383	403
23	2012	383	403
23	2027	383	403
23	2087	383	403
23	1982	367	403
23	1997	367	403
23	2012	367	403
20	2027	367	218
#==== G?CH B? L? ====	0	265	
1	1505	336	402
1	1520	336	402
1	1571	400	402
1	1586	400	402
1	1601	400	402
1	1586	385	402
1	1601	385	402
1	1601	370	402
1	1664	370	402
1	1664	385	402
1	1679	385	402
1	1664	400	402
1	1679	400	402
1	1694	400	402
1	2256	304	402
1	2271	304	402
1	2256	368	402
1	2271	368	402
# --- G?CH CÂU H?I ----	0	265	
18	176	352	218
18	192	352	218
18	224	304	218
18	240	304	218
18	416	320	218
18	656	384	218
18	704	352	218
20	1440	128	218
18	1472	368	218
# --- HÀNG G?CH NH? LO?I 1 ----	0	265	
1	0	415	30
1	16	415	31
1	32	415	31
1	48	415	31
1	64	415	31
1	80	415	31
1	96	415	31
1	112	415	31
1	128	415	31
1	144	415	31
1	160	415	31
1	176	415	31
1	192	415	31
1	208	415	31
1	224	415	31
1	240	415	31
1	256	415	31
1	272	415	31
1	288	415	31
1	304	415	31
1	320	415	31
1	336	415	31
1	352	415	31
1	368	415	31
1	384	415	31
1	400	415	31
1	416	415	31
1	432	415	31
1	448	415	31
1	464	415	31
1	480	415	31
1	496	415	31
1	512	415	31
1	528	415	31
1	544	415	31
1	560	415	31
1	576	415	31
1	592	415	31
1	608	415	32
#==== GACH BU 1 TREN ====	0	265	
1	624	400	33
1	638	400	34
1	652	400	34
1	666	400	34
1	680	400	34
1	694	400	34
1	708	400	34
1	722	400	34
1	736	400	34
1	750	400	34
1	764	400	34
1	778	400	34
1	792	400	34
1	806	400	34
1	820	400	34
1	834	400	34
1	848	400	34
1	862	400	34
1	876	400	34
1	890	400	34
1	904	400	34
1	918	400	34
1	932	400	34
1	946	400	34
1	960	400	34
1	974	400	34
1	988	400	34
1	1002	400	34
1	1016	400	34
1	1030	400	34
1	1044	400	34
1	1058	400	34
1	1072	400	35
#==== GACH BU 1 DUOI ====	0	263	
1	624	415	36
1	638	415	37
1	652	415	37
1	666	415	37
1	680	415	37
1	694	415	37
1	708	415	37
1	722	415	37
1	736	415	37
1	750	415	37
1	764	415	37
1	778	415	37
1	792	415	37
1	806	415	37
1	820	415	37
1	834	415	37
1	848	415	37
1	862	415	37
1	876	415	37
1	890	415	37
1	904	415	37
1	918	415	37
1	932	415	37
1	946	415	37
1	960	415	37
1	974	415	37
1	988	415	37
1	1002	415	37
1	1016	415	37
1	1030	415	37
1	1044	415	37
1	1058	415	37
1	1072	415	38


# --- HÀNG G?CH NH? LO?I 1 HÀNG 2----	0	265	
1	1152	415	30
1	1168	415	31
1	1184	415	31
1	1200	415	31
1	1216	415	31
1	1232	415	31
1	1248	415	31
1	1264	415	31
1	1280	415	31
1	1296	415	31
1	1312	415	31
1	1328	415	31
1	1344	415	31
1	1360	415	31
1	1376	415	31
1	1392	415	31
1	1408	415	31
1	1424	415	31
1	1440	415	31
1	1456	415	31
1	1472	415	31
1	1488	415	32
# --- HÀNG G?CH NH? LO?I 1 HÀNG 3----	0	265	
1	1536	415	30
1	1552	415	31
1	1568	415	31
1	1584	415	31
1	1600	415	31
# --- HÀNG G?CH NH? LO?I 1 HÀNG 4----	0	265	
1	1664	415	30
1	1680	415	31
1	1696	415	31
1	1712	415	31
1	1728	415	31
1	1744	415	31
1	1760	415	31
1	1776	415	31
1	1792	415	31
1	1808	415	31
1	1824	415	31
1	1840	415	31
1	1856	415	31
1	1872	415	31
1	1888	415	31
1	1904	415	31
1	1920	415	31
1	1936	415	31
1	1952	415	31
1	1968	415	31
1	1984	415	31
1	2000	415	31
1	2016	415	31
1	2032	415	31
1	2048	415	31
1	2064	415	31
1	2080	415	31
1	2096	415	31
1	2112	415	31
1	2128	415	31
1	2144	415	31
1	2160	415	31
1	2176	415	31
1	2192	415	31
1	2208	415	31
1	2222	415	32
# --- HÀNG G?CH NH? LO?I 1 HÀNG 5----	0	265	
1	2256	415	30
1	2272	415	31
1	2288	415	31
1	2304	415	31
1	2320	415	31
1	2336	415	31
1	2352	415	31
1	2368	415	31
1	2384	415	31
1	2400	415	31
1	2416	415	31
1	2432	415	31
1	2448	415	31
1	2464	415	31
1	2480	415	31
1	2496	415	31
1	2512	415	31
1	2528	415	31
1	2544	415	31
1	2560	415	31
1	2576	415	31
1	2592	415	31
1	2608	415	31
1	2624	415	31
1	2640	415	31
1	2656	415	31
1	2672	415	31
1	2688	415	31
1	2704	415	31
1	2720	415	31
1	2736	415	31
1	2752	415	31
1	2768	415	31
1	2784	415	31
1	2800	415	32
#SECTION 1 END	0	265	
#SECTION 3	0	265	
#=== KH?I XANH CAO 1 ===	0	265	
5	274	335	57
5	290	335	58
5	306	335	59
#==== KH?I ?? 1 ====	0	265	
5	240	367	48
5	256	367	49
5	272	367	50
#=====H?P TR?NG	0	265	
5	512	303	39
5	528	303	40
5	544	303	40
5	560	303	41
#=== H?P ??	0	265	
5	464	335	48
5	480	335	49
5	496	335	49
5	512	335	50
#KH?I XANH LÁ _C?M 2	0	265	
5	400	367	66
5	416	367	67
5	432	367	67
5	448	367	67
5	464	367	68
#KH?I XANH LÁ 2 _C?M 2	0	265	
5	513	383	66
5	529	383	67
5	545	383	67
5	561	383	67
5	577	383	67
5	593	383	68
#=====H?P XANH	0	265	
5	1328	319	57
5	1344	319	58
5	1360	319	58
5	1376	319	58
5	1392	319	58
5	1408	319	58
5	1424	319	59
#=== H?P ??	0	265	
5	1296	351	48
5	1312	351	49
5	1328	351	49
5	1344	351	49
5	1360	351	49
5	1376	351	49
5	1392	351	50
#H?P XANH	0	265	
5	1264	383	66
5	1280	383	67
5	1296	383	67
5	1312	383	67
5	1328	383	67
5	1344	383	67
5	1360	383	68
#H?P XANH	0	265	
5	2176	271	66
5	2192	271	67
5	2208	271	68
#==== KH?I ?? 1 ====	0	265	
5	2144	367	48
5	2160	367	49
5	2176	367	50
#=======FLOWER RED	0	265	
13	360	382	216
#=======FLOWER GREEN	0	265	
21	1795	391	216
#=======FLOWER GREEN CAN SHOOT	0	265	
22	1864	391	216
# ?NG C?NG 1	0	265	
6	352	367	80
6	368	367	81
6	353	383	82
6	368	383	83
6	353	399	82
6	368	399	83
#?NG C?NG 2	0	265	
6	1788	383	80
6	1804	383	81
6	1789	399	82
6	1804	399	83
# ?NG C?NG 3	0	265	
6	1857	367	80
6	1873	367	81
6	1858	383	82
6	1873	383	83
6	1858	399	82
6	1873	399	83
#?NG C?NG 5	0	265	
6	2320	383	80
6	2336	383	81
6	2321	399	82
6	2336	399	83
#?NG C?NG B? 4	0	265	
#KHÚC D??I	0	265	
6	2257	383	82
6	2272	383	83
6	2257	399	82
6	2272	399	83
# g?ch l?p ?ng	0	265	
1	2256	368	402
1	2272	368	402
1	2256	303	402
1	2272	303	402
#DOUBLE PIPE BLACK BODY	0	265	
6	1335	1255	407
6	1328	1255	407
6	1347	1255	408
6	1559	1255	407
6	1552	1255	407
6	1571	1255	408
#DOUBLE PIPE BLACK	0	265	
6	1329	1268	406
38	1553	1268	406
#ENDSECTION 3	0	265	
# GOOMBA 	0	265	
2	224	399	88
2	528	399	88
2	832	380	88
2	880	380	88
#GOOMBA_ ?? _BAY	0	265	
11	944	365	88
#KOOPA XANH_BAY	0	265	
7	1328	292	89
7	1376	292	89
7	1425	292	89
#KOOPA XANH_B?	0	265	
3	1472	388	89
#KOOPA ??_B?	0	265	
8	576	354	89
8	2096	356	89
#==== LEAF 1		265	
16	240	304	219
#==== LEAF 2		265	
16	656	386	219
#==== LEAF 3		265	
16	1472	368	219
#===== MUSHROOM RED		265	
#===== MUSHROOM RED 1		265	
17	240	304	220
#===== MUSHROOM RED 2		265	
17	656	386	220
#===== MUSHROOM RED 3		265	
17	1472	368	220
#====== MUSHROOM GREEN		265	
19	1440	128	220
# --- COIN CAN MOVE ----		265	
26	176	352	209
26	192	352	209
26	224	304	209
26	416	320	209
26	704	352	209
# --- GẠCH CÂU HỎI ----		265	
15	176	352	218
15	192	352	218
15	224	304	218
18	240	304	218
15	416	320	218
18	656	386	218
15	704	352	218
20	1440	128	218
18	1472	368	218
#==== SPECIAL ITEMS		265	
28	2688	347	108
#28	17	355	108

